date,description,type,from,to,amount,currency,comment,tx_hash,
2020-11-02T03:23:47Z,airdrop,incoming,0xd31e655bC4Eb5BCFe25A47d636B25bb4aa4041B2,ychad.eth,856420144564,A! WWW.SPACESWAP.APP ! TOP DEFI AGGREGATOR !,,0x70ff6d86266862ff92cf9fb683bf221f7cebf285d8d89c80711991fec5fc91df,
2020-11-03T15:32:32Z,airdrop,incoming,yfi.milkyklim.eth,ychad.eth,451,yyDAI+yUSDC+yUSDT+yTUSD,Top-up for Rari NFT competition,0xdf9e90169874b4ec1f41ad43019250eb9882255499dc77e74ae4d6d559745f9e,
2020-11-03T16:35:47Z,airdrop,incoming,0x74630370197b4c4795bFEeF6645ee14F8cf8997D,ychad.eth,451,yyDAI+yUSDC+yUSDT+yTUSD,Top-up for Rari NFT competition,0x3a4420f12355ec82126bb365f31f1f35141f964b58550acf24565944b20e37dd,
2020-11-04T13:03:36Z,airdrop,incoming,yfi.milkyklim.eth,ychad.eth,500,USDC,Top-up for logo designer,0xfd4f9b81ae613a45c895d5f2de14293382192cbcb08652c1d1ca570308349528,
2020-11-04T13:15:59Z,grant,outgoing,ychad.eth,0xaF958b2bAf85c54F52b7cd063598A01857Cd7fcC,50000,yyDAI+yUSDC+yUSDT+yTUSD,Send Bug Bounty to WD,0xf95d13c08e4d486ce5e3c005f9652b0a8193511e6602773e28965a4c7367980e,
2020-11-04T19:28:52Z,grant,outgoing,ychad.eth,0x644f0A084B9bdd193ce1336EA0C12B6C1a726dab,500,USDC,Donate to logo designer,0x17a0a31e2239229b53ec5c481af3b952419b4a1e3078853967660d9da08dc260,
2020-11-04T21:33:41Z,airdrop,incoming,0x334CE923420ff1aA4f272e92BF68013D092aE7B4,ychad.eth,451,yyDAI+yUSDC+yUSDT+yTUSD,Top-up for Rari NFT competition,0x8f03ce9a35220e8522dc2a77639becf9fb226e476faae62a795709b6da76699e,
2020-11-05T17:20:27Z,rebalance,none,0x9346C20186D1794101B8517177A1b15c49c9ff9b,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,8.725394828618270000,WETH,Swap to USDC,0x06df610e6d59dfa5066abe88964c5c2794214c48a164add0c0aa3b69b549dd25,
2020-11-05T17:20:27Z,rebalance,none,0xB4e16d0168e52d35CaCD2c6185b44281Ec28C9Dc,ychad.eth,3606.868685,USDC,,0x06df610e6d59dfa5066abe88964c5c2794214c48a164add0c0aa3b69b549dd25,
2020-11-05T17:20:27Z,rebalance,none,ychad.eth,0x8D29bE29923b68abfDD21e541b9374737B49cdAD,0,ETH,,0x06df610e6d59dfa5066abe88964c5c2794214c48a164add0c0aa3b69b549dd25,
2020-11-05T17:20:27Z,rebalance,none,ychad.eth,0x9346C20186D1794101B8517177A1b15c49c9ff9b,3100,yyDAI+yUSDC+yUSDT+yTUSD,,0x06df610e6d59dfa5066abe88964c5c2794214c48a164add0c0aa3b69b549dd25,
2020-11-05T18:17:27Z,payment,outgoing,ychad.eth,0xc8d968165cd47b90Cf390626017d6D69CA242a0F,3500,USDC,Pay Mixbytes audit,0xb892b59574ff5ae6f52448ce144dc2d9b6cbd77d47abe99f7413b731660ae062,
2020-11-05T21:55:31Z,rebalance,none,0x5dbcF33D8c2E976c6b560249878e6F1491Bca25c,ychad.eth,34831.61788740520000000,yDAI+yUSDC+yUSDT+yTUSD,,0xb18f068256cbef9a13dc6be4cb89ee096e0a3d7e4197f6c554436d8671995d63,
2020-11-05T21:55:31Z,rebalance,none,ychad.eth,0x0000000000000000000000000000000000000000,31400,yyDAI+yUSDC+yUSDT+yTUSD,,0xb18f068256cbef9a13dc6be4cb89ee096e0a3d7e4197f6c554436d8671995d63,
2020-11-05T21:55:31Z,rebalance,none,ychad.eth,0x8D29bE29923b68abfDD21e541b9374737B49cdAD,0,ETH,Unwrap yUSD,0xb18f068256cbef9a13dc6be4cb89ee096e0a3d7e4197f6c554436d8671995d63,
2020-11-06T18:09:13Z,grant,outgoing,0xD152f549545093347A162Dce210e7293f1452150,0x1a123d835B006d27d4978C8EB40B14f08e0b8607,500,yyDAI+yUSDC+yUSDT+yTUSD,Send 1st Prize,0x9943f6a3bb3ca9feb4db8eb7070e352fe321f837196815dcd1a68da855b54047,
2020-11-06T18:09:13Z,grant,outgoing,0xD152f549545093347A162Dce210e7293f1452150,0x73f2f3A4fF97B6A6d7afc03C449f0e9a0c0d90aB,2000,yyDAI+yUSDC+yUSDT+yTUSD,Send 1st Prize,0x9943f6a3bb3ca9feb4db8eb7070e352fe321f837196815dcd1a68da855b54047,
2020-11-06T18:09:13Z,grant,outgoing,0xD152f549545093347A162Dce210e7293f1452150,0xD1CE468BA66334a959736dC27CA1dc3E1A3e7c94,1500,yyDAI+yUSDC+yUSDT+yTUSD,Send 2nd Prize,0x9943f6a3bb3ca9feb4db8eb7070e352fe321f837196815dcd1a68da855b54047,
2020-11-06T18:09:13Z,grant,outgoing,ychad.eth,0x8D29bE29923b68abfDD21e541b9374737B49cdAD,0,ETH,,0x9943f6a3bb3ca9feb4db8eb7070e352fe321f837196815dcd1a68da855b54047,
2020-11-06T18:09:13Z,grant,outgoing,ychad.eth,0xD152f549545093347A162Dce210e7293f1452150,4000,yyDAI+yUSDC+yUSDT+yTUSD,Send ETHOnline prizes,0x9943f6a3bb3ca9feb4db8eb7070e352fe321f837196815dcd1a68da855b54047,
