date,description,type,from,to,nonce,amount,currency,comment,tx_hash
2021-05-01T01:05:46Z,,,ychad.eth,0x8D29bE29923b68abfDD21e541b9374737B49cdAD,507,0,ETH,Vote in curve,0x3dab02449e8343af4776539e0963e78b003eb30bce9dfa59ceef8140bea41cac
2021-05-01T01:10:39Z,,,ychad.eth,0x8D29bE29923b68abfDD21e541b9374737B49cdAD,508,0,ETH,Pull 500 YFI from vault and put them in unit to ape in crv3usdp vault,0xc06e6bd54b9b25ca9b73faf41c0ae3d39fd21647327543902ebcb37b920601a2
2021-05-01T01:10:39Z,,,ychad.eth,0x0000000000000000000000000000000000000000,,495.825581247673000000,yvYFI,,0xc06e6bd54b9b25ca9b73faf41c0ae3d39fd21647327543902ebcb37b920601a2
2021-05-01T01:10:39Z,,,0xE14d13d8B3b85aF791b2AADD661cDBd5E6097Db1,ychad.eth,,506.284445624490000000,YFI,,0xc06e6bd54b9b25ca9b73faf41c0ae3d39fd21647327543902ebcb37b920601a2
2021-05-01T01:10:39Z,,,ychad.eth,0xb1cFF81b9305166ff1EFc49A129ad2AfCd7BCf19,,500,YFI,,0xc06e6bd54b9b25ca9b73faf41c0ae3d39fd21647327543902ebcb37b920601a2
2021-05-01T01:10:39Z,,,0x0000000000000000000000000000000000000000,ychad.eth,,4000000,USDP,,0xc06e6bd54b9b25ca9b73faf41c0ae3d39fd21647327543902ebcb37b920601a2
2021-05-01T01:10:39Z,,,ychad.eth,0x42d7025938bEc20B69cBae5A77421082407f053A,,4000000,USDP,,0xc06e6bd54b9b25ca9b73faf41c0ae3d39fd21647327543902ebcb37b920601a2
2021-05-01T01:10:39Z,,,0x0000000000000000000000000000000000000000,ychad.eth,,3983352.571718560000000000,usdp3CRV,,0xc06e6bd54b9b25ca9b73faf41c0ae3d39fd21647327543902ebcb37b920601a2
2021-05-01T01:10:39Z,,,ychad.eth,0x1B5eb1173D2Bf770e50F10410C9a96F7a8eB6e75,,3983352.571718560000000000,usdp3CRV,,0xc06e6bd54b9b25ca9b73faf41c0ae3d39fd21647327543902ebcb37b920601a2
2021-05-01T01:10:39Z,,,0x0000000000000000000000000000000000000000,ychad.eth,,3764522.404660240000000000,yvusdp3CRV,,0xc06e6bd54b9b25ca9b73faf41c0ae3d39fd21647327543902ebcb37b920601a2
2021-05-01T19:24:02Z,,,ychad.eth,0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,509,0,ETH,Send grant to wavey,0x2a2f3dced4bb8f25df6196680822a65a5a07f4815f2ec1634762fb50cda97dc1
2021-05-01T19:24:02Z,,,ychad.eth,0xE18B7aE9ABbeDad231AD23D10baf6a4365AfC8fA,,10000,USDC,,0x2a2f3dced4bb8f25df6196680822a65a5a07f4815f2ec1634762fb50cda97dc1
2021-05-01T19:29:08Z,,,ychad.eth,0x8D29bE29923b68abfDD21e541b9374737B49cdAD,510,0,ETH,Pull yfi from unit due to liquidation ,0x555cb2f4b21f190c61ecf94ff4e357f37e0253bafb34ec82e8a26980b45e77e5
2021-05-01T19:29:08Z,,,0x0000000000000000000000000000000000000000,ychad.eth,,3000000,USDP,,0x555cb2f4b21f190c61ecf94ff4e357f37e0253bafb34ec82e8a26980b45e77e5
2021-05-01T19:29:08Z,,,ychad.eth,0x42d7025938bEc20B69cBae5A77421082407f053A,,3000000,USDP,,0x555cb2f4b21f190c61ecf94ff4e357f37e0253bafb34ec82e8a26980b45e77e5
2021-05-01T19:29:08Z,,,0x0000000000000000000000000000000000000000,ychad.eth,,2985927.81646075000000000,usdp3CRV,,0x555cb2f4b21f190c61ecf94ff4e357f37e0253bafb34ec82e8a26980b45e77e5
2021-05-01T19:29:08Z,,,ychad.eth,0x1B5eb1173D2Bf770e50F10410C9a96F7a8eB6e75,,2985927.81646075000000000,usdp3CRV,,0x555cb2f4b21f190c61ecf94ff4e357f37e0253bafb34ec82e8a26980b45e77e5
