date,from,to,nonce,amount,currency,comment,tx_hash
2021-08-01T00:54:49Z,ychad.eth,0x8D29bE29923b68abfDD21e541b9374737B49cdAD,773,0,ETH,Add DAI/LINK market to kashi strategy,0xe59ff96ee29829dc039a075920a9ed6ece7dada34b522dee712e04e97f869bcc
2021-08-01T20:28:49Z,ychad.eth,0x40A2aCCbd92BCA938b02010E17A5b8929b49130D,774,0,ETH,Recycle btc and 1inch derivates and send them to burner wallet,0xf6b31eae93495ab530f5442e22c1432f34fb52c91cc24d325dd9a33bf209e222
2021-08-02T04:28:28Z,ychad.eth,0x6B175474E89094C44Da98b954EedeAC495271d0F,775,0,ETH,Pay audit subscription,0x45c1d6eda2cf86d6669b769e99feb9e33b076ee679fadf030688e51e5b83e2b0
2021-08-02T04:28:28Z,ychad.eth,0xc8d968165cd47b90Cf390626017d6D69CA242a0F,,78030,DAI,,0x45c1d6eda2cf86d6669b769e99feb9e33b076ee679fadf030688e51e5b83e2b0
2021-08-02T04:32:32Z,ychad.eth,0x40A2aCCbd92BCA938b02010E17A5b8929b49130D,776,0,ETH,Send recurrent grants  ,0xa041b3b7ea27b51676f68e1c192364ec1774ac3c0bb6fa9aeb5f1d81178278e8
2021-08-02T04:32:32Z,ychad.eth,0xD152f549545093347A162Dce210e7293f1452150,,296106,DAI,,0xa041b3b7ea27b51676f68e1c192364ec1774ac3c0bb6fa9aeb5f1d81178278e8
2021-08-02T04:32:32Z,0xD152f549545093347A162Dce210e7293f1452150,wentokyo.eth,,20833,DAI,Donate to banteg,0xa041b3b7ea27b51676f68e1c192364ec1774ac3c0bb6fa9aeb5f1d81178278e8
2021-08-02T04:32:32Z,0xD152f549545093347A162Dce210e7293f1452150,yfi.milkyklim.eth,,20833,DAI,Donate to milkyklim,0xa041b3b7ea27b51676f68e1c192364ec1774ac3c0bb6fa9aeb5f1d81178278e8
2021-08-02T04:32:32Z,0xD152f549545093347A162Dce210e7293f1452150,0x9b0312639d7b33eA4c8F2A6CFF970736e717FCa1,,20833,DAI,Donate to tracheopteryx,0xa041b3b7ea27b51676f68e1c192364ec1774ac3c0bb6fa9aeb5f1d81178278e8
2021-08-02T04:32:32Z,0xD152f549545093347A162Dce210e7293f1452150,0x5bA6624Ed97EAdDC2a2b5778A2771716Eb4Ca96A,,20833,DAI,Donate to Daniel,0xa041b3b7ea27b51676f68e1c192364ec1774ac3c0bb6fa9aeb5f1d81178278e8
2021-08-02T04:32:32Z,0xD152f549545093347A162Dce210e7293f1452150,0x05f9E07AFCcD4ea69310e316f4c5Ef81Ed3ED9c8,,14583,DAI,Donate to Storm0x,0xa041b3b7ea27b51676f68e1c192364ec1774ac3c0bb6fa9aeb5f1d81178278e8
2021-08-02T04:32:32Z,0xD152f549545093347A162Dce210e7293f1452150,lucho.eth,,14583,DAI,Donate to Luciano,0xa041b3b7ea27b51676f68e1c192364ec1774ac3c0bb6fa9aeb5f1d81178278e8
2021-08-02T04:32:32Z,0xD152f549545093347A162Dce210e7293f1452150,x48114.eth,,14583,DAI,Donate to x48,0xa041b3b7ea27b51676f68e1c192364ec1774ac3c0bb6fa9aeb5f1d81178278e8
2021-08-02T04:32:32Z,0xD152f549545093347A162Dce210e7293f1452150,0x7768A6568a6C7FCc114994e3E55d0a8dCB60b812,,10417,DAI,Donate to Facu,0xa041b3b7ea27b51676f68e1c192364ec1774ac3c0bb6fa9aeb5f1d81178278e8
2021-08-02T04:32:32Z,0xD152f549545093347A162Dce210e7293f1452150,0xbA6630049Ce9Daa20b4d99fd6f6F1032B3B0026D,,5000,DAI,Donate to dudesahn,0xa041b3b7ea27b51676f68e1c192364ec1774ac3c0bb6fa9aeb5f1d81178278e8
2021-08-02T04:32:32Z,0xD152f549545093347A162Dce210e7293f1452150,oniichan.eth,,5000,DAI,Donate to Dark Ghosty,0xa041b3b7ea27b51676f68e1c192364ec1774ac3c0bb6fa9aeb5f1d81178278e8
2021-08-02T04:32:32Z,0xD152f549545093347A162Dce210e7293f1452150,0xf3B2cDBF23A7F42BEDa882cb477FD8a7103186d7,,10417,DAI,Donate to Alejo,0xa041b3b7ea27b51676f68e1c192364ec1774ac3c0bb6fa9aeb5f1d81178278e8
2021-08-02T04:32:32Z,0xD152f549545093347A162Dce210e7293f1452150,0xCdAA49f08e612357347b25F323529444Fc1EBC66,,10417,DAI,Donate to Gotzen,0xa041b3b7ea27b51676f68e1c192364ec1774ac3c0bb6fa9aeb5f1d81178278e8
2021-08-02T04:32:32Z,0xD152f549545093347A162Dce210e7293f1452150,0x3F37a30cEa56C5d199cEB4250354FDCd84805538,,10417,DAI,Donate to Turtle,0xa041b3b7ea27b51676f68e1c192364ec1774ac3c0bb6fa9aeb5f1d81178278e8
2021-08-02T04:32:32Z,0xD152f549545093347A162Dce210e7293f1452150,vany365.eth,,2000,DAI,Donate to vany,0xa041b3b7ea27b51676f68e1c192364ec1774ac3c0bb6fa9aeb5f1d81178278e8
2021-08-02T04:32:32Z,0xD152f549545093347A162Dce210e7293f1452150,0x19047FAad4E7E0F118FcF1d6b0F2118d4FDa3893,,9167,DAI,Donate to nymmrx,0xa041b3b7ea27b51676f68e1c192364ec1774ac3c0bb6fa9aeb5f1d81178278e8
2021-08-02T04:32:32Z,0xD152f549545093347A162Dce210e7293f1452150,0xf1AB0e37475F949b16D70f09ceF672A54019B053,,5000,DAI,Donate to Gambito,0xa041b3b7ea27b51676f68e1c192364ec1774ac3c0bb6fa9aeb5f1d81178278e8
2021-08-02T04:32:32Z,0xD152f549545093347A162Dce210e7293f1452150,0x5b607d28180F7260c6726048E909CB8f1A271CE0,,3875,DAI,Donate to Bob the Builder,0xa041b3b7ea27b51676f68e1c192364ec1774ac3c0bb6fa9aeb5f1d81178278e8
2021-08-02T04:32:32Z,0xD152f549545093347A162Dce210e7293f1452150,0x7F021632F3741e1b22126ecB7F100046Cc9038DF,,12000,DAI,Donate to Steffel,0xa041b3b7ea27b51676f68e1c192364ec1774ac3c0bb6fa9aeb5f1d81178278e8
2021-08-02T04:32:32Z,0xD152f549545093347A162Dce210e7293f1452150,0x14fEE59eAF210DA119926850036A2791a3674A2a,,14000,DAI,Donate to Guillermo,0xa041b3b7ea27b51676f68e1c192364ec1774ac3c0bb6fa9aeb5f1d81178278e8
2021-08-02T04:32:32Z,0xD152f549545093347A162Dce210e7293f1452150,0xE18B7aE9ABbeDad231AD23D10baf6a4365AfC8fA,,10417,DAI,Donate to waver,0xa041b3b7ea27b51676f68e1c192364ec1774ac3c0bb6fa9aeb5f1d81178278e8
2021-08-02T04:32:32Z,0xD152f549545093347A162Dce210e7293f1452150,0x071243c8f33A3e7c15499a8E51fF852DbaF05854,,11667,DAI,Donate to Bull,0xa041b3b7ea27b51676f68e1c192364ec1774ac3c0bb6fa9aeb5f1d81178278e8
2021-08-02T04:32:32Z,0xD152f549545093347A162Dce210e7293f1452150,lex-node.eth,,3231,DAI,Donate to Gabe,0xa041b3b7ea27b51676f68e1c192364ec1774ac3c0bb6fa9aeb5f1d81178278e8
2021-08-02T04:32:32Z,0xD152f549545093347A162Dce210e7293f1452150,0x25F8787A42b06Ce8CFCA2dF4a169a220147b5eFc,,20833,DAI,Donate to Shade,0xa041b3b7ea27b51676f68e1c192364ec1774ac3c0bb6fa9aeb5f1d81178278e8
2021-08-02T04:32:32Z,0xD152f549545093347A162Dce210e7293f1452150,0xc40feB7D8761e3680751Ab2768480B50bA2B937C,,16667,DAI,Donate to Weaver,0xa041b3b7ea27b51676f68e1c192364ec1774ac3c0bb6fa9aeb5f1d81178278e8
2021-08-02T04:32:32Z,0xD152f549545093347A162Dce210e7293f1452150,0xb512bFB6343b09c94ab48627cAEbF63009D7CFD2,,3500,DAI,Donate to philbert,0xa041b3b7ea27b51676f68e1c192364ec1774ac3c0bb6fa9aeb5f1d81178278e8
2021-08-02T04:32:32Z,0xD152f549545093347A162Dce210e7293f1452150,0x3A25A0a0c83c535f33ac74263e8D99CbF431E2C3,,5000,DAI,Donate to Ivan,0xa041b3b7ea27b51676f68e1c192364ec1774ac3c0bb6fa9aeb5f1d81178278e8
2021-08-02T15:04:31Z,ychad.eth,0x40A2aCCbd92BCA938b02010E17A5b8929b49130D,777,0,ETH,Recycle btc and 1inch derivates and send them to burner wallet ,0x149fe1c65d240327959f17a67375f39281d4cc985ffcf3b80c9c1cdff0338715
2021-08-02T15:04:31Z,0x93A62dA5a14C80f265DAbC077fCEE437B1a0Efde,ychad.eth,,252.310441792101000000,eursCRV,,0x149fe1c65d240327959f17a67375f39281d4cc985ffcf3b80c9c1cdff0338715
