address,name,status,social proof
0x48f2bd7513da5Bb9F7BfD54Ea37c41650Fd5f3a3,devops199fan,active,https://twitter.com/devops199fan/status/1285430347954622464
0x50B0C406a5C1fC492F84c3F3D4552391cF4672f2,Substreight,active,https://twitter.com/Substreight/status/1299780260737630209
0x6626593c237f530d15ae9980a95ef938ac15c35c,Gauntlet,active,https://twitter.com/gauntletnetwork/status/1299778153674616833
0x6E83d6f57012D74e0F131753f8B5Ab557824507D,Vasiliy Shapovalov,active,https://twitter.com/_vshapovalov/status/1299799139635679232
0x6F2A8Ee9452ba7d336b3fba03caC27f7818AeAD6,Mariano Conti,active,https://twitter.com/nanexcool/status/1299520212375658501
cp0xcom.eth,cp0x.com,active,https://twitter.com/kaplansky1/status/1285427247286046725
daryllau.eth,Daryl Lau,active,https://twitter.com/Daryllautk/status/1285434908383444992
yfi.banteg.eth,banteg,active,https://twitter.com/bantg/status/1285426492906909696
yfi.milkyklim.eth,milkyklim,active,https://milkyklim.keybase.pub/yearn-social-proof.txt
0x59171b87817C5F07157066Bd5284707A711229B3,Cooopahtroopa,retired,https://twitter.com//status/1285438650550038529
0xFe45baf0F18c207152A807c1b05926583CFE2e4b,Curve,retired,https://twitter.com/CurveFinance/status/1285428322986389504
0xa83838221278f22ee5bAe3E523f34D42b066D67D,Damir Bandalo,retired,https://twitter.com/damirbandalo/status/1285500362015875073
0xb0325DbE7fA891436E83A094f9F12848c78e449b,Calvin Liu,retired,https://twitter.com/cjliu49/status/1285439553180798976
